Year,Round Number,Circuit Name,Race Name,Mean Track Temperature,Rainfall Status,Driver Abbr,Team,Driver Number,Sprint Position,Sprint Points,Quali Position,Race Position,Race Points
2018,12,Hangaroring,Hungarian Grand Prix,45.59,Rain,MAG,Haas F1 Team,20,,0,9.0,7,6.0
2018,12,Hangaroring,Hungarian Grand Prix,45.59,Rain,HUL,Renault,27,,0,13.0,12,0.0
2018,12,Hangaroring,Hungarian Grand Prix,45.59,Rain,HAR,Toro Rosso,28,,0,8.0,11,0.0
2018,12,Hangaroring,Hungarian Grand Prix,45.59,Rain,RIC,Red Bull Racing,3,,0,12.0,4,12.0
2018,12,Hangaroring,Hungarian Grand Prix,45.59,Rain,OCO,Force India,31,,0,18.0,13,0.0
2018,12,Hangaroring,Hungarian Grand Prix,45.59,Rain,VER,Red Bull Racing,33,,0,7.0,R,0.0
2018,12,Hangaroring,Hungarian Grand Prix,45.59,Rain,SIR,Williams,35,,0,20.0,16,0.0
2018,12,Hangaroring,Hungarian Grand Prix,45.59,Rain,HAM,Mercedes,44,,0,1.0,1,25.0
2018,12,Hangaroring,Hungarian Grand Prix,45.59,Rain,VET,Ferrari,5,,0,4.0,2,18.0
2018,12,Hangaroring,Hungarian Grand Prix,45.59,Rain,SAI,Renault,55,,0,5.0,9,2.0
2018,12,Hangaroring,Hungarian Grand Prix,45.59,Rain,RAI,Ferrari,7,,0,3.0,3,15.0
2018,12,Hangaroring,Hungarian Grand Prix,45.59,Rain,BOT,Mercedes,77,,0,2.0,5,10.0
2018,12,Hangaroring,Hungarian Grand Prix,45.59,Rain,GRO,Haas F1 Team,8,,0,10.0,10,1.0
2018,12,Hangaroring,Hungarian Grand Prix,45.59,Rain,ERI,Sauber,9,,0,14.0,15,0.0
2018,13,Spa-Francorchamps,Belgian Grand Prix,25.19,Rain,GAS,Toro Rosso,10,,0,11.0,9,2.0
2018,13,Spa-Francorchamps,Belgian Grand Prix,25.19,Rain,PER,Racing Point,11,,0,4.0,5,10.0
2018,13,Spa-Francorchamps,Belgian Grand Prix,25.19,Rain,ALO,McLaren,14,,0,17.0,R,0.0
2018,13,Spa-Francorchamps,Belgian Grand Prix,25.19,Rain,LEC,Sauber,16,,0,13.0,R,0.0
